area,type
Elachistocleis_bicolor,frogs
Leptodactylus_longirostris,frogs
Leptodactylus_cf_pentadactylus,frogs
Leptodactylus_cf_knudseni,frogs
Leptodactylus_stenodema,frogs
Osteocephalus_oophagus,frogs
Osteocephalus_taurinus,frogs
Phyllomedusa_vaillantii,frogs
Pristimantis_fenestratus,frogs
Pristimantis_ockendeni,frogs
Pristimantis_zimmermanae,frogs
Scinax_garbei,frogs
Scinax_ruber,frogs
Synapturanus_mirandaribeiroi,frogs
Trachycephalus_coriaceus,frogs
Trachycephalus_resinifictrix,frogs
Rhaebo_guttatus,frogs
Rhinella_marina,frogs
Rhinella_merianae,frogs
Ateuchus.sp.1,beetles
Ateuchus.sp.2,beetles
Canthidium.deyrollei,beetles
Canthidium.dohrni,beetles
Canthidium.gerstaeckeri,beetles
Canthidium.sp.1,beetles
Canthidium.sp.2,beetles
Canthon.aff..juvencus,beetles
Canthon.sordidus,beetles
Canthon.triangularis,beetles
Coprophanaeus.parvulus,beetles
Cryptocanthon.peckorum,beetles
Delthochilum.sp.1,beetles
Delthochilum.sp.2,beetles
Delthochilum.sp.3,beetles
Dichotomius.aff..lucasi,beetles
Dichotomius.boreus,beetles
Dichotomius.mamillatus,beetles
Dichotomius.subaeneus,beetles
Eurysternus.atrosericus,beetles
Eurysternus.balachowskyi,beetles
Eurysternus.caribaeus,beetles
Eurysternus.ventricosus,beetles
Ontherus.carinifrons,beetles
Onthophagus.rubrescens,beetles
Onthophagus.sp.1,beetles
Oxysternon.festivum..viridanum,beetles
Phanaeus.cambeforti,beetles
Phanaeus.chalcomelas,beetles
Scybalocanthon.cyanocephalus,beetles
Scybalocanthon.pygidialis,beetles
Sinapisoma.sp.,beetles
Uroxys.sp.1,beetles
eg_avicula,bees
el_bombiformis,bees
eg_chalybeata,bees
eg_cognata,bees
eg_crassipunctata,bees
eg_ignita,bees
eg_intersecta,bees
eg_irisa,bees
el_meriana,bees
el_mocsaryi,bees
ex_smaragdina,bees
ex_frontalis,bees
eg_imperialis,bees
eg_iopyrrha,bees
eg_orellana,bees
el_cingulata,bees
eg_retroviridis,bees
eg_mourei,bees
