name	forest_area_ha	remain.sps	taxa
Sapupara	77.89	93.13432836	trees
Moita	97.42	92.23880597	trees
Pontal	110.03	90.44776119	trees
Furo	193	88.05970149	trees
Cipoal	218.74	85.67164179	trees
Tristeza	484.03	83.88059701	trees
Beco_Catitu	627.46	79.10447761	trees
Mascote	669.88	77.31343284	trees
Fuzaca	744.8	74.32835821	trees
Porto_seguro	1459.7	68.05970149	trees
TF1	14596.99	53.73134328	trees
TF2	14596.99	45.07462687	trees
TF3	14596.99	0.298507463	trees
Torem	3.52	100	beetles
Pe_Torto	5.85	100	beetles
Coata	17.45	100	beetles
Palhal	21.21	100	beetles
Neto	32.83	100	beetles
Bacaba	53.2	100	beetles
Sapupara	77.89	100	beetles
Moita	97.42	96.96969697	beetles
Pontal	110.03	96.96969697	beetles
Furo_de_Santa_Luzia	193	87.87878788	beetles
Cipoal	218.74	87.87878788	beetles
Tristeza	484.03	87.87878788	beetles
Beco_do_Catitu	627.46	87.87878788	beetles
Mascote	669.88	84.84848485	beetles
Fuzaca	744.8	84.84848485	beetles
Porto_Seguro	1459.7	72.72727273	beetles
TF3	14596.99	69.6969697	beetles
TF2	14596.99	33.33333333	beetles
TF1	14596.99	3.03030303	beetles
