taxa	connect_r1	mod_r1	nest_r1	robustness_LL_r1_large_to_small 
liz	0.4257143	0.1975587	65.95443	0.777635
liz	0.4257143	0.1719292	62.54957	0.7144503
liz	0.4257143	0.1956218	64.88175	0.7519469
liz	0.4257143	0.1848115	61.13112	0.7570927
liz	0.4257143	0.2304401	65.88666	0.7717792
liz	0.4257143	0.1847665	67.31443	0.78045
liz	0.4584615	0.2036845	66.96347	0.7460431
liz	0.4257143	0.1944957	61.59788	0.737526
liz	0.4257143	0.1981442	58.50693	0.7127766
liz	0.4584615	0.1819287	65.78085	0.7342736
liz	0.4257143	0.2016125	65.60119	0.7714865
liz	0.4584615	0.1860727	60.1558	0.7758751
liz	0.4966667	0.1939552	64.28257	0.7100568
liz	0.4584615	0.1911175	68.61385	0.7486503
liz	0.4584615	0.1797216	64.99686	0.7303641
liz	0.4257143	0.1941804	69.60459	0.7886229
liz	0.4257143	0.1836854	60.3442	0.768944
liz	0.4257143	0.1826945	61.55847	0.7529088
liz	0.4584615	0.19373	61.4551	0.7971891
liz	0.4584615	0.2027837	68.4176	0.7489002
liz	0.4257143	0.2017026	62.7092	0.7658667
liz	0.4257143	0.1862979	63.19362	0.7801554
liz	0.4257143	0.1784604	57.32281	0.7132126
liz	0.4257143	0.1826494	59.04515	0.6989692
liz	0.4257143	0.1910274	65.41817	0.7572234
liz	0.4257143	0.186433	61.74823	0.737646
liz	0.4966667	0.1929192	60.33846	0.7330197
liz	0.4584615	0.2056214	67.21522	0.7775016
liz	0.4257143	0.190622	66.39667	0.7633557
liz	0.4257143	0.1789559	62.28669	0.7742264
liz	0.4257143	0.1953516	61.02568	0.7747376
liz	0.4257143	0.1930544	61.37396	0.7015821
liz	0.4257143	0.1915229	63.18606	0.7713881
liz	0.4584615	0.1794514	60.07008	0.7325783
liz	0.4584615	0.1771091	62.00257	0.7600655
liz	0.4257143	0.1860727	65.76272	0.6912828
liz	0.4257143	0.1855322	73.23483	0.6759655
liz	0.4257143	0.1778749	62.59393	0.7599502
liz	0.4257143	0.1857574	63.01911	0.7270198
liz	0.4257143	0.1901716	69.8569	0.7547481
liz	0.4257143	0.2038647	64.39563	0.7529133
liz	0.4257143	0.1919733	63.17544	0.7940491
liz	0.4257143	0.1880095	59.4071	0.7429089
liz	0.4257143	0.190532	61.43465	0.8090406
liz	0.4257143	0.1920184	61.62095	0.7561738
liz	0.4257143	0.1880996	62.44715	0.7357577
liz	0.4257143	0.192649	62.90148	0.7887424
liz	0.4257143	0.1976488	61.92269	0.7271856
liz	0.4584615	0.1748119	61.31927	0.6872644
liz	0.4584615	0.1783703	71.3679	0.7330225
liz	0.4584615	0.1839106	69.14738	0.8143364
liz	0.4257143	0.1881897	68.11831	0.7097572
liz	0.4257143	0.1944507	66.06083	0.8001571
liz	0.4257143	0.1953065	64.9859	0.777188
liz	0.4257143	0.1972884	60.61799	0.7411718
liz	0.4257143	0.1784604	66.07391	0.7557647
liz	0.4257143	0.1747219	70.22284	0.7642414
liz	0.4257143	0.1765686	63.31967	0.806064
liz	0.4257143	0.1885951	64.64737	0.720516
liz	0.4584615	0.1859376	64.93573	0.7718885
liz	0.4584615	0.1705779	64.92094	0.7243315
liz	0.4584615	0.1862529	70.45474	0.7733122
liz	0.4257143	0.185307	66.51969	0.7400885
liz	0.4257143	0.1850367	60.46018	0.7414757
liz	0.4584615	0.193685	64.85536	0.8029302
liz	0.4257143	0.1795415	63.73552	0.7857608
liz	0.4257143	0.1892257	62.54217	0.713954
liz	0.4257143	0.1935949	65.8299	0.7163429
