taxa	species	body_size	body_size_st	degree	normalized.degree	betweenness	nested_contribution	betweenness_igraph
beetles	Oxysternon.festivum..viridanum	0.3152	45.02857143	1	0.05263158	0	-1.33286793	0
beetles	Phanaeus.cambeforti	0.03313	4.732857143	1	0.05263158	0	1.63461128	0
beetles	Phanaeus.chalcomelas	0.16797	23.99571429	3	0.15789474	0.027217865	1.09860459	0.006779578
beetles	Scybalocanthon.cyanocephalus	0.01763	2.518571429	1	0.05263158	0	1.5945434	0
beetles	Scybalocanthon.pygidialis	0.02317	3.31	4	0.21052632	0.090563937	1.00228063	0.028040881
beetles	Sinapisoma.sp.	0.00083	0.118571429	1	0.05263158	0	0.07492047	0
beetles	Uroxys.sp.1	0.00113	0.161428571	8	0.42105263	0.039840991	0.27140995	0.054482253
bees	eg_avicula	10.732	41.38829972	24	0.96	0.116241089	3.0382887	0.144273008
bees	el_bombiformis	25.931	100.0016527	25	1	0.116241089	2.69359287	0.163987569
bees	eg_chalybeata	13.13	50.63437584	12	0.48	0.064631742	1.19428157	0.026130972
bees	eg_cognata	12.187	46.99651641	4	0.16	0.013033109	0.97244773	0.0019553
bees	eg_crassipunctata	8.852	34.13674752	11	0.44	0.084460832	1.06167034	0.02688947
bees	eg_ignita	12.073	46.55817361	13	0.52	0.116241089	1.69713313	0.036483348
bees	eg_intersecta	16.459	63.4729346	9	0.36	0.067470146	1.13635075	0.01632424
bees	eg_irisa	9.734	37.53979578	2	0.08	0.00206044	-0.68045674	0.000524929
bees	el_meriana	24.68	95.17565848	25	1	0.116241089	2.65927616	0.163987569
bees	el_mocsaryi	18.26	70.41764683	13	0.52	0.08563593	1.56805759	0.037754635
bees	ex_smaragdina	17.671	68.14623424	7	0.28	0.023724501	-0.48771593	0.008864424
bees	ex_frontalis	23.424	90.33203502	8	0.32	0.04653009	0.72198135	0.011763431
bees	eg_imperialis	12.775	49.26535807	7	0.28	0.026994957	-0.44069528	0.007702369
bees	eg_iopyrrha	10.65	41.07053334	3	0.12	0.003217847	-0.75581376	0.001089289
bees	eg_orellana	13.44	51.82985616	11	0.44	0.052311616	0.11621777	0.022338666
bees	el_cingulata	20.73	79.94292546	5	0.2	0.011065324	-1.74207954	0.005060627
bees	eg_retroviridis	11.44	44.11707994	3	0.12	0.007431457	-1.2022567	0.001503124
bees	eg_mourei	9.411	36.29246847	5	0.2	0.022239258	0.06209638	0.003985647
bees	eg_augaspis	9.517	36.70124561	4	0.16	0.012075617	0.61360224	0.002099858
bees	eg_bidentata	10.503	40.50492974	1	0.04	0	-0.41388159	0
bees	eg_piliventris	13.88	53.52666692	1	0.04	0	0.32338083	0
bees	eg_prasina	9.215	35.53661641	4	0.16	0.012152778	-0.62334053	0.002565212
bees	el_pseudocingulta	20	77.12776214	1	0.04	0	0.5419926	0
bees	eg_gaianii	8.53	32.89499055	1	0.04	0	0.98002292	0
trees	Abarema_jupunba	5	71.42857143	2	0.08	0.0005	1.139924778	4.56E-05
trees	Ampelocera_edentula	6	85.71428571	4	0.16	0.0021	1.334003264	3.20E-04
trees	Amphirrhox_longifolia	5	71.42857143	5	0.2	0.001	-0.108898409	1.89E-04
trees	Anacardium_giganteum	6	85.71428571	8	0.32	0.003	0.258484089	7.41E-04
trees	Anacardium_parvifolium	6	85.71428571	1	0.04	0	0.514711873	0.00E+00
trees	Andira_micrantha	7	100	18	0.72	0.0082	2.236116571	3.83E-03
trees	Andira_unifoliolata	7	100	3	0.12	0.0007	-0.461721536	7.48E-05
trees	Aniba_rosaeodora	6	85.71428571	5	0.2	0.0015	-0.36303691	2.69E-04
trees	Anisophyllea_manausensis	5	71.42857143	5	0.2	0.0018	1.196886028	3.04E-04
trees	Anomalocalyx_uleanus	5	71.42857143	10	0.4	0.0053	1.831155987	1.53E-03
trees	Aparisthmium_cordatum	5	71.42857143	5	0.2	0.0021	0.69413871	3.74E-04
trees	Apeiba_echinata	3	42.85714286	17	0.68	0.0073	1.901291182	3.34E-03
trees	Aspidosperma_aracanga	5	71.42857143	2	0.08	0.0002	0.401153627	1.78E-05
trees	Aspidosperma_nitidum	5	71.42857143	6	0.24	0.002	0.598355027	3.68E-04
