area,type
Pouteria_cuspidata,species
Pouteria_filipes,species
Pouteria_freitasii,species
Pouteria_guianensis,species
Pouteria_minima,species
Pouteria_oppositifolia,species
Pouteria_pallens,species
Pouteria_reticulata,species
Pouteria_rostrata,species
Pouteria_stipulifera,species
Pouteria_virescens,species
Protium_altsonii,species
Protium_apiculatum,species
Protium_aracouchini,species
Protium_decandrum,species
Protium_giganteum,species
Protium_hebetatum,species
Protium_opacum,species
Protium_pilosum,species
Protium_trifoliolatum,species
Pseudolmedia_laevigata,species
Pseudolmedia_laevis,species
Pseudopiptadenia_psilostachya,species
Psidium_guineense,species
Pterocarpus_officinalis,species
Pterocarpus_rohrii,species
Qualea_paraensis,species
Quararibea_ochrocalyx,species
Quiina_amazonica,species
Rhodostemonodaphne_grandis,species
Rinorea_guianensis,species
Rinorea_macrocarpa,species
Rinorea_racemosa,species
Rollinia_insignis,species
Roucheria_punctata,species
Roupala_montana,species
Ryania_speciosa,species
Sacoglottis_mattogrossensis,species
Sapium_glandulosum,species
Sarcaulus_brasiliensis,species
Schefflera_morototoni,species
Schizolobium_amazonicum,species
Scleronema_micranthum,species
Sextonia_rubra,species
Simaba_cedron,species
Simaba_polyphylla,species
Simarouba_amara,species
Siparuna_decipiens,species
Siparuna_guianensis,species
Sloanea_excelsa,species
Sloanea_schomburgkii,species
Sloanea_synandra,species
Socrateae_exorrhiza,species
Sorocea_guilleminiana,species
Sorocea_muriculata_muriculata,species
Sterculia_excelsa,species
Sterigmapetalum_obovatum,species
Stryphnodendron_guianense,species
Swartzia_arborescens,species
Swartzia_cuspidata,species
Swartzia_oblanceolata,species
Swartzia_panacoco,species
Swartzia_polyphylla,species
Swartzia_reticulata,species
Symphonia_globulifera,species
Tabebuia_incana,species
Tabebuia_serratifolia,species
Tabernaemontana_angulata,species
Tabernaemontana_flavicans,species
Tachigali_chrysophylla,species
Tachigali_glauca,species
Tachigali_micropetala,species
Talisia_mollis,species
Tapirira_guianensis,species
Tapura_amazonica,species
Ternstroemia_urophora,species
Tetragastris_altissima,species
Tetragastris_panamensis,species
Theobroma_grandiflorum,species
Theobroma_speciosum,species
Theobroma_subincanum,species
Theobroma_sylvestre,species
Thyrsodium_spruceanum,species
Toulicia_cf._pulvinata,species
Tovomita_obovata,species
Trichilia_cipo,species
Trichilia_pleeana,species
Trichilia_schomburgkii,species
Unonopsis_duckei,species
Vantanea_guianensis,species
Vantanea_parviflora,species
Vatairea_sericea,species
Virola_calophylla_calophylla,species
Virola_juruensis,species
Virola_michelii,species
